All,Continent,Region,Country
Global,Asia,Southern Asia,Afghanistan
Global,Europe,Southern Europe,Albania
Global,Africa,Northern Africa,Algeria
Global,Oceania,Polynesia,American Samoa
Global,Europe,Southern Europe,Andorra
Global,Africa,Middle Africa,Angola
Global,Latin America and the Caribbean,Caribbean,Anguilla
Global,Latin America and the Caribbean,Caribbean,Antigua and Barbuda
Global,Latin America and the Caribbean,South America,Argentina
Global,Asia,Western Asia,Armenia
Global,Latin America and the Caribbean,Caribbean,Aruba
Global,Oceania,Australia and New Zealand,Australia
Global,Europe,Western Europe,Austria
Global,Asia,Western Asia,Azerbaijan
Global,Latin America and the Caribbean,Caribbean,Bahamas
Global,Asia,Western Asia,Bahrain
Global,Asia,Southern Asia,Bangladesh
Global,Latin America and the Caribbean,Caribbean,Barbados
Global,Europe,Eastern Europe,Belarus
Global,Europe,Western Europe,Belgium
Global,Latin America and the Caribbean,Central America,Belize
Global,Africa,Western Africa,Benin
Global,Northern America,Northern America,Bermuda
Global,Asia,Southern Asia,Bhutan
Global,Latin America and the Caribbean,South America,Bolivia (Plurinational State of)
Global,Europe,Southern Europe,Bosnia and Herzegovina
Global,Africa,Southern Africa,Botswana
Global,Latin America and the Caribbean,South America,Brazil
Global,Latin America and the Caribbean,Caribbean,British Virgin Islands
Global,Asia,South-Eastern Asia,Brunei Darussalam
Global,Europe,Eastern Europe,Bulgaria
Global,Africa,Western Africa,Burkina Faso
Global,Africa,Eastern Africa,Burundi
Global,Asia,South-Eastern Asia,Cambodia
Global,Africa,Middle Africa,Cameroon
Global,Northern America,Northern America,Canada
Global,Africa,Western Africa,Cabo Verde
Global,Latin America and the Caribbean,Caribbean,"Bonaire, Sint Eustatius and Saba"
Global,Latin America and the Caribbean,Caribbean,Cayman Islands
Global,Africa,Middle Africa,Central African Republic
Global,Africa,Middle Africa,Chad
Global,Europe,Northern Europe,Channel Islands
Global,Latin America and the Caribbean,South America,Chile
Global,Asia,Eastern Asia,China
Global,Asia,Eastern Asia,"China, Hong Kong Special Administrative Region"
Global,Asia,Eastern Asia,"China, Macao Special Administrative Region"
Global,Latin America and the Caribbean,South America,Colombia
Global,Africa,Eastern Africa,Comoros
Global,Africa,Middle Africa,Congo
Global,Oceania,Polynesia,Cook Islands
Global,Latin America and the Caribbean,Central America,Costa Rica
Global,Africa,Western Africa,Côte d'Ivoire
Global,Europe,Southern Europe,Croatia
Global,Latin America and the Caribbean,Caribbean,Cuba
Global,Latin America and the Caribbean,Caribbean,Curaçao
Global,Asia,Western Asia,Cyprus
Global,Europe,Eastern Europe,Czech Republic
Global,Asia,Eastern Asia,Democratic People's Republic of Korea
Global,Africa,Middle Africa,Democratic Republic of the Congo
Global,Europe,Northern Europe,Denmark
Global,Africa,Eastern Africa,Djibouti
Global,Latin America and the Caribbean,Caribbean,Dominica
Global,Latin America and the Caribbean,Caribbean,Dominican Republic
Global,Latin America and the Caribbean,South America,Ecuador
Global,Africa,Northern Africa,Egypt
Global,Latin America and the Caribbean,Central America,El Salvador
Global,Africa,Middle Africa,Equatorial Guinea
Global,Africa,Eastern Africa,Eritrea
Global,Europe,Northern Europe,Estonia
Global,Africa,Eastern Africa,Ethiopia
Global,Europe,Northern Europe,Faeroe Islands
Global,Latin America and the Caribbean,South America,Falkland Islands (Malvinas)
Global,Oceania,Melanesia,Fiji
Global,Europe,Northern Europe,Finland
Global,Europe,Western Europe,France
Global,Latin America and the Caribbean,South America,French Guiana
Global,Oceania,Polynesia,French Polynesia
Global,Africa,Middle Africa,Gabon
Global,Africa,Western Africa,Gambia
Global,Asia,Western Asia,Georgia
Global,Europe,Western Europe,Germany
Global,Africa,Western Africa,Ghana
Global,Europe,Southern Europe,Gibraltar
Global,Europe,Southern Europe,Greece
Global,Northern America,Northern America,Greenland
Global,Latin America and the Caribbean,Caribbean,Grenada
Global,Latin America and the Caribbean,Caribbean,Guadeloupe
Global,Oceania,Micronesia,Guam
Global,Latin America and the Caribbean,Central America,Guatemala
Global,Africa,Western Africa,Guinea
Global,Africa,Western Africa,Guinea-Bissau
Global,Latin America and the Caribbean,South America,Guyana
Global,Latin America and the Caribbean,Caribbean,Haiti
Global,Europe,Southern Europe,Holy See
Global,Latin America and the Caribbean,Central America,Honduras
Global,Europe,Eastern Europe,Hungary
Global,Europe,Northern Europe,Iceland
Global,Asia,Southern Asia,India
Global,Asia,South-Eastern Asia,Indonesia
Global,Asia,Southern Asia,Iran (Islamic Republic of)
Global,Asia,Western Asia,Iraq
Global,Europe,Northern Europe,Ireland
Global,Europe,Northern Europe,Isle of Man
Global,Asia,Western Asia,Israel
Global,Europe,Southern Europe,Italy
Global,Latin America and the Caribbean,Caribbean,Jamaica
Global,Asia,Eastern Asia,Japan
Global,Asia,Western Asia,Jordan
Global,Asia,Central Asia,Kazakhstan
Global,Africa,Eastern Africa,Kenya
Global,Oceania,Micronesia,Kiribati
Global,Asia,Western Asia,Kuwait
Global,Asia,Central Asia,Kyrgyzstan
Global,Asia,South-Eastern Asia,Lao People's Democratic Republic
Global,Europe,Northern Europe,Latvia
Global,Asia,Western Asia,Lebanon
Global,Africa,Southern Africa,Lesotho
Global,Africa,Western Africa,Liberia
Global,Africa,Northern Africa,Libya
Global,Europe,Western Europe,Liechtenstein
