Week,30 Yr FRM,30 Yr fees &points,15 Yr FRM,15 Yr fees & points,5/1 ARM,5/1 ARM fees & points,5/1 ARM margin,30 Yr FRM 5/1 ARM spread
4/2/1971,7.33,,,,,,,
4/9/1971,7.31,,,,,,,
4/16/1971,7.31,,,,,,,
4/23/1971,7.31,,,,,,,
4/30/1971,7.29,,,,,,,
5/7/1971,7.38,,,,,,,
5/14/1971,7.42,,,,,,,
5/21/1971,7.44,,,,,,,
5/28/1971,7.46,1,,,,,,
6/4/1971,7.52,,,,,,,
6/11/1971,7.52,,,,,,,
6/18/1971,7.54,1.2,,,,,,
6/25/1971,7.54,,,,,,,
7/2/1971,7.54,,,,,,,
7/9/1971,7.54,,,,,,,
7/16/1971,7.6,1.2,,,,,,
7/23/1971,7.65,,,,,,,
7/30/1971,7.69,,,,,,,
8/6/1971,7.66,,,,,,,
8/13/1971,7.73,,,,,,,
8/20/1971,7.71,1.3,,,,,,
8/27/1971,7.69,,,,,,,
9/3/1971,7.71,,,,,,,
9/10/1971,7.67,,,,,,,
9/17/1971,7.7,1.1,,,,,,
9/24/1971,7.67,,,,,,,
10/1/1971,7.67,,,,,,,
10/8/1971,7.63,,,,,,,
10/15/1971,7.63,,,,,,,
10/22/1971,7.58,1.1,,,,,,
10/29/1971,7.63,,,,,,,
11/5/1971,7.59,,,,,,,
11/12/1971,7.56,,,,,,,
11/19/1971,7.54,1,,,,,,
11/26/1971,7.51,,,,,,,
12/3/1971,7.49,,,,,,,
12/10/1971,7.47,,,,,,,
12/17/1971,7.48,,,,,,,
12/24/1971,7.48,,,,,,,
12/31/1971,7.48,1,,,,,,
1/7/1972,7.46,1,,,,,,
1/14/1972,7.46,0.9,,,,,,
1/21/1972,7.43,1,,,,,,
1/28/1972,7.4,0.9,,,,,,
2/4/1972,7.35,0.9,,,,,,
2/11/1972,7.33,0.9,,,,,,
2/18/1972,7.31,0.9,,,,,,
2/25/1972,7.31,0.9,,,,,,
3/3/1972,7.32,0.9,,,,,,
3/10/1972,7.32,1,,,,,,
3/17/1972,7.31,0.9,,,,,,
3/24/1972,7.31,0.9,,,,,,
3/31/1972,7.23,0.9,,,,,,
4/7/1972,7.25,0.9,,,,,,
4/14/1972,7.29,0.9,,,,,,
4/21/1972,7.29,0.9,,,,,,
4/28/1972,7.33,1,,,,,,
5/5/1972,7.33,0.8,,,,,,
5/12/1972,7.38,0.9,,,,,,
5/19/1972,7.38,0.9,,,,,,
5/26/1972,7.4,0.9,,,,,,
6/2/1972,7.36,1,,,,,,
6/9/1972,7.38,1,,,,,,
6/16/1972,7.38,0.9,,,,,,
6/23/1972,7.36,0.9,,,,,,
6/30/1972,7.38,0.8,,,,,,
7/7/1972,7.38,0.9,,,,,,
7/14/1972,7.4,0.9,,,,,,
7/21/1972,7.4,0.9,,,,,,
7/28/1972,7.4,1,,,,,,
8/4/1972,7.35,0.9,,,,,,
8/11/1972,7.41,0.9,,,,,,
8/18/1972,7.42,0.9,,,,,,
8/25/1972,7.42,0.9,,,,,,
9/1/1972,7.42,1,,,,,,
9/8/1972,7.42,0.9,,,,,,
9/15/1972,7.42,0.9,,,,,,
9/22/1972,7.41,1,,,,,,
9/29/1972,7.43,1,,,,,,
10/6/1972,7.41,0.9,,,,,,
10/13/1972,7.41,0.9,,,,,,
10/20/1972,7.44,1,,,,,,
10/27/1972,7.42,1,,,,,,
11/3/1972,7.43,1,,,,,,
11/10/1972,7.42,1,,,,,,
11/17/1972,7.42,1,,,,,,
11/24/1972,7.44,0.9,,,,,,
12/1/1972,7.45,1,,,,,,
12/8/1972,7.43,1,,,,,,
12/15/1972,7.43,1,,,,,,
12/22/1972,7.45,1,,,,,,
12/29/1972,7.45,0.9,,,,,,
1/5/1973,7.44,0.9,,,,,,
1/12/1973,7.44,0.9,,,,,,
1/19/1973,7.44,0.9,,,,,,
1/26/1973,7.43,0.9,,,,,,
2/2/1973,7.43,0.9,,,,,,
2/9/1973,7.43,1,,,,,,
2/16/1973,7.45,0.9,,,,,,
2/23/1973,7.45,1,,,,,,
3/2/1973,7.45,1,,,,,,
3/9/1973,7.45,0.9,,,,,,
3/16/1973,7.45,0.9,,,,,,
3/23/1973,7.45,0.9,,,,,,
3/30/1973,7.49,0.9,,,,,,
4/6/1973,7.51,1,,,,,,
4/13/1973,7.54,0.9,,,,,,
4/20/1973,7.56,0.9,,,,,,
4/27/1973,7.56,0.9,,,,,,
5/4/1973,7.58,0.9,,,,,,
5/11/1973,7.64,0.9,,,,,,
5/18/1973,7.69,0.9,,,,,,
5/24/1973,7.7,0.9,,,,,,
6/1/1973,7.7,0.9,,,,,,
6/8/1973,7.73,0.9,,,,,,
6/15/1973,7.73,0.9,,,,,,
6/22/1973,7.75,0.9,,,,,,
6/29/1973,7.76,0.9,,,,,,
7/6/1973,7.89,0.9,,,,,,
7/13/1973,8.01,1,,,,,,
7/20/1973,8.12,0.9,,,,,,
7/27/1973,8.18,1,,,,,,
8/3/1973,8.26,1,,,,,,
8/10/1973,8.4,1.1,,,,,,
8/17/1973,8.55,1,,,,,,
8/24/1973,8.61,1,,,,,,
8/31/1973,8.66,1.1,,,,,,
9/7/1973,8.77,1.1,,,,,,
9/14/1973,8.81,1.1,,,,,,
9/21/1973,8.83,1.1,,,,,,
9/28/1973,8.85,1.1,,,,,,
